,emitterName,latentVector,completionPercentage,jumpActionsPerformed,killsTotal,livesLeft,coinsCollected,remainingTime (20-timeSpent),behavior feature X,behavior feature Y
0,ImprovementEmitter,"[ 1.03824581e+00  1.31034945e+00  9.28089880e-01 -1.28460413e-03
 -4.39779939e-01 -3.65186477e-01 -9.78101425e-02  8.39382580e-01
  6.28503919e-02  7.72006923e-01  9.27601826e-01  4.09775155e-02
  2.83733338e-01  2.76271082e-01 -3.73776362e-01  8.31308235e-01
  8.61731919e-01  1.59669009e-01  6.38114824e-01  1.22619731e-02
 -3.61301770e-01  1.04514538e+00  1.90115767e-01 -5.74124248e-01
  6.37806408e-01 -1.71693624e-01  6.08291851e-01 -1.36889831e-01
  2.12104750e-02  2.10176987e-01 -2.46701947e-01  8.05362188e-01
  2.02783719e-01  3.99447673e-01 -3.55805527e-01  1.24767041e-02
  6.43810156e-01 -1.01700869e-01  5.03194552e-01  2.39629855e-01
 -7.39416282e-01 -4.80782269e-01  7.73058374e-03 -4.45656813e-01
 -2.31446801e-01  2.22049024e-02  1.30701628e-01 -7.26820231e-01
  7.01111560e-01 -6.30988621e-01 -2.32281699e-01 -3.15088839e-01
  9.00391332e-02 -1.59169620e-01  1.56482964e-01 -7.58790195e-02
 -5.35120470e-03  7.02507655e-02 -4.44826325e-02  2.09533707e-01
  2.13323078e-01  4.71726641e-01  9.69500316e-01  1.62386683e-01
  5.54612259e-01 -1.44652113e+00 -2.04042049e-01  2.43054101e-01
  9.22379784e-01 -4.82817448e-01 -3.28285079e-01 -6.94710111e-01
  4.55468554e-01  1.33397112e-01  1.69316944e-01 -9.66430325e-01
  1.05419810e+00 -1.75804552e-01 -5.46154547e-01  7.50552427e-01
  4.18914599e-01  2.40460216e-01 -4.87499277e-01  6.75359556e-01
  3.07022766e-01  3.07275511e-01 -4.31557870e-01 -3.61112484e-01
 -5.55927456e-01  5.15914606e-01 -1.07697972e+00  1.40215772e-01
 -4.26061822e-01 -7.52147280e-02 -4.12108877e-01  6.47214381e-01]",0.16647647321224213,0,0,0,0,19340,8,0
1,ImprovementEmitter,"[-0.07680232  0.32967674  0.49289647  0.0817656  -0.12656683  0.53673945
 -0.09998942 -0.52229325 -0.42626301 -0.01615407 -0.14236494 -0.57160362
 -0.22137799  0.97997117  0.08895084 -0.08065176  0.32211161  0.5867297
  0.80227736  0.11718123  0.06877826 -0.1618473  -0.15404047  0.40784399
 -0.47563752 -0.05786804  0.96567388 -0.51993296  0.03773212  0.21930689
 -0.24471259  0.24415974  0.17204569  0.03393925  0.31071975  1.01837429
  0.45546773 -0.27759263  0.19314099  0.3543074   0.29869748 -0.55137137
  0.65801953  0.08741947 -0.37500879  0.43006771 -0.6052109  -0.49762126
  0.05080725 -0.39236388 -0.16001403  0.20417909  0.18288939  0.58948521
 -0.28785804 -0.03996829 -0.47022999 -0.47630161 -0.16929985 -0.50362475
 -0.45665376  0.11445675  0.56368279 -0.54324527 -0.62766338  0.20488115
 -0.13493874  0.22024454 -0.59503768  0.10435407  0.26742884 -0.53214651
  0.06594021  0.36032616  0.99414253 -0.64376734  0.2249832  -0.36037991
 -0.08415514  0.43238887  0.38852576 -0.64078686  0.16225903  0.42644711
  0.01173423  0.0246013   0.09969317 -0.42706348  0.1813818  -0.09897035
 -0.33195055  0.27668016  0.33198773 -0.00420421  0.24105504  0.4034795 ]",0.16647647321224213,0,0,0,0,19340,1,0
2,ImprovementEmitter,"[ 0.10057451 -0.59477308 -0.34783903 -0.50739269 -0.49838657  0.3416468
  0.91786327 -0.27469467 -0.16844161 -0.464449    0.21083245  0.33315991
  0.11212647 -0.11421878 -0.69916724 -0.23931496 -0.44154837  0.34217422
 -0.16561772 -0.00751381 -0.62296696 -0.46707921 -0.56645668 -0.05447701
 -0.10731893 -0.98050966 -0.17513495  0.87517248  0.84569481  0.27283573
  0.46393137 -0.08049418 -0.68411721  0.28409005  0.09381562  0.82244822
  0.09777812 -1.05193486  0.05986045  0.54478104  0.41650264 -0.51524272
 -1.1727317   0.18528991  0.65721117 -0.21633527 -0.015486   -0.45788636
  0.2682453   0.31746119 -0.21023727 -0.01828788  0.25528138  0.33263931
  0.46999963  0.62942184 -0.0586843   0.47384353  0.68263413 -0.11744571
  0.11043393 -0.23593123 -0.04295871  0.40086361 -0.13716169 -0.2782819
 -0.174769    0.03451588  0.32744966 -0.47312279  0.07018179 -0.87473635
 -0.9651069  -0.27033603  0.12945406  0.0172419  -0.60031418 -0.53100692
  0.29851868  0.83977771 -0.27122734 -0.42883445 -0.03130872 -0.12797612
  0.24330649 -0.12844866  0.8766727  -0.14372856  0.61652074  1.2998398
  0.05608248  0.11029005  0.22215182  0.42276018 -0.26530065 -0.13733259]",1.0,5,0,0,0,17120,1,1
3,ImprovementEmitter,"[ 0.54698319  0.02207123  0.19488483  0.44062499 -0.8180048   0.2661918
  0.33165457 -0.39002584  0.05645958 -0.17856386  0.00951864  0.59197047
  0.2590025  -0.21884635 -0.10836979 -0.01121001  0.48333334  0.29483473
  0.41502443 -0.01133276  0.04813668  0.53244117 -1.30580874  0.04225883
 -0.26455812 -0.0930461   0.25929702 -1.18866436  0.38683927  0.45700278
 -0.13050616  0.27940775 -1.43588739  0.14099405  0.60373913  0.14631466
  0.59231487  0.69781225 -0.09123329 -0.24819208  0.9289242   0.16011512
 -0.47269076  0.39641571  0.07524752 -0.03872486 -1.07990473  0.5049618
  0.01732303 -0.03994226  0.00895273  0.42859192  1.0154516   0.91740404
  0.67376101  1.28013139 -0.03853672 -0.22367318 -0.46665736  0.23267851
  0.49836328  0.37305216 -0.2326738  -0.01088408  0.68211056 -0.90902318
  0.27296448 -0.53341688  0.02042149  0.27729061 -0.59710328 -0.50038672
  1.03729058 -0.45006336  0.07093693 -0.38517228  0.85522519  0.81188512
  0.43133693 -1.11840448 -0.00844312 -0.64752556 -0.14201307 -0.06079897
 -0.69801275  0.21009891  0.00421197  0.18088899 -0.76203408 -0.89662542
  0.26422635  0.79954897 -0.01796932 -0.12411464 -0.94299092  0.09172892]",0.16647647321224213,0,0,0,0,19340,35,5
4,ImprovementEmitter,"[ 0.12759744  0.73288501 -0.45960847  0.99981042 -0.22269528  0.29054627
 -1.36673664 -0.91469969 -0.11744507  0.01685741 -0.87584918 -0.69857459
  0.79065398 -0.14406287  0.17887301  0.85480022  0.43987501  0.01317558
  0.75583305  0.06494881 -0.85853803  0.26374828 -0.04974104 -0.25509345
  0.47144873  0.66661669  1.05590262 -0.69922353 -0.48895859  0.16428805
  0.50932039  0.27456954  0.19355164 -0.03982062 -0.33541939 -0.72526963
 -0.51614905  0.38169796  0.41146187  0.33249255  0.91103486  0.37465273
  0.19857026  0.33209531 -0.18205474 -0.3149224   1.15401042  0.2946296
 -0.40901404 -0.17120314  0.66929367  0.04128011  0.38582112 -0.97544243
 -0.25139942 -0.81713803  0.48351991  0.5082087  -0.22859734 -0.55335481
  0.4570992   0.45141408  0.21602719  0.45733656  0.64639754 -0.06586788
 -0.47765555 -0.36803938 -1.18408006  0.48457254 -1.41871688  0.25745137
 -0.25104466 -0.02979516  0.61343094  0.04550743  0.44562458  0.69439276
  0.87558143 -0.67425263 -0.27604041 -0.11928762  0.58824844  0.09261777
 -0.89221955  0.73416843 -0.98778568 -0.89882721  0.18890013 -0.24839085
 -0.27491039 -0.49980385  0.38260026 -0.09447502 -0.50726479 -0.55323224]",1.0,6,0,0,0,16820,27,0
5,ImprovementEmitter,"[ 0.38460394 -1.08338351 -1.09192744 -1.4670339  -0.56130352  0.46315833
  0.50723336 -0.15075295  0.46122549  0.27981154 -0.35509506  0.68137147
  0.29389768  0.34913896 -1.13881533 -0.15488667 -0.13919118  0.67270745
 -0.02917424  0.62982862 -0.19833443 -1.069574    0.1291961  -0.02317845
  0.36161875 -1.56257651  0.74116693  1.16978932  0.61934324  0.34259575
  0.60116374  0.49418815 -1.08351167 -0.15964773  0.17670376  1.16769023
  0.19478894 -1.07974679 -0.05164675  0.41839955  0.22417277  0.57707295
 -0.23330295  0.71053673  1.19139306 -0.33890246  0.0846068  -0.96835961
 -0.08584748  1.07030669 -0.32774896  0.14693712  0.11515895  0.07069633
  0.37417486  0.1531525  -0.34194223  0.34286613  1.09767248 -0.06515377
 -0.3913416   0.20963226  0.32171049  0.72283183  0.12003784  0.15184963
 -0.29847907 -0.36915884  0.63706377 -0.59701847 -0.15976414 -1.28885749
 -1.3121996  -0.0934975   0.20400793 -0.19605194 -0.96531403 -0.34262705
  0.24252764  0.48391791 -0.21844414 -0.81594267 -0.36097646 -0.20776485
  0.37955293 -0.30819615  1.31469217 -0.51056547  0.11881531  0.3796687
 -0.04771796  0.12032222  0.02893235  0.23972835  0.01649823 -0.05825685]",0.2624974548816681,1,0,0,0,18800,1,0
6,ImprovementEmitter,"[ 0.52789675 -2.24876269 -0.50613163  0.74860433  0.25449386 -0.40118518
  0.26337174  0.32063034  0.44383623  0.10845991 -0.76818345  1.32666541
 -1.15585238 -0.16063527 -0.73562849  0.62149861 -0.61419866  0.96019791
  0.65960271 -0.3177766  -0.14386103 -0.60881386 -0.72351761 -0.67227587
 -1.02055389 -2.38044289 -1.19752471  1.53723422  0.7004369  -0.1259813
  1.61740504  0.47474194 -1.45662086  1.103139    0.06858959  0.09104349
  1.00682297 -1.51464598  0.21202758  0.0498159   0.94436683 -0.39989852
  0.08234759  0.70316557  1.35445096 -0.54723133 -0.38633952  0.12108092
  0.41660635  0.23584241 -0.49196969 -0.23843618  0.10908171  0.98329649
  0.44773707  0.36901704 -0.43367103  0.22253886  0.4376408  -0.17419149
  0.18657393 -0.3899996   0.0130386   0.26270852  0.0372073  -0.23969967
 -0.17790109  0.55266513  0.4847711  -0.64991775 -0.45985176 -0.52774652
 -1.2349625  -0.24531353  0.15569268 -0.32494558 -0.69201946 -0.7862129
  0.29187147  0.94336855  0.44927646 -1.15172042  0.01404784 -0.39064081
  0.38567302 -0.18699738  1.13168479 -0.11478496  0.78007419  1.32678293
  0.18155388 -0.01611041  0.27820553  0.82411422 -1.29994038 -0.33241493]",1.0,5,3,0,0,17000,11,7
7,ImprovementEmitter,"[-0.02920041 -1.55798343  0.36476678 -0.91847858  0.12261037  0.48205266
  0.91299098  0.15031703  0.37351173 -0.54619662  0.148965    2.88556341
  0.47173308  0.47851796 -0.94934488 -0.09926033  0.07874344 -0.09243164
 -0.51465837  0.69450494 -0.95647039 -1.47781207 -0.67463404  0.0114719
 -0.34886752 -1.90379589 -0.24835984  0.79223683  0.50556303 -0.88673045
  0.06710141 -0.94785533 -0.41883969 -0.1455786  -0.12844544 -0.04087678
 -0.19801444 -0.97975376 -0.2142977   0.76030355  0.22311716 -0.56143083
 -1.46025226  0.1436421   0.39718266  0.01247475 -0.09903728 -0.81118933
  0.35267565  0.74619101 -0.15100104  0.30910976  0.41595552  0.24971976
  0.0323694   0.92229869  0.2139722   0.90745376  0.03772288 -0.46552033
  0.3628601  -0.72272276 -0.2942546   0.62328049 -0.66521225 -0.2056439
 -0.55943783  0.08263531  0.05560196 -0.61067381 -0.4393888  -0.43728773
 -0.24130528 -0.4942907  -0.6569184   0.03644197 -0.50849412 -0.75480984
  0.41582686  1.01162457 -0.26922364 -0.49271172  0.12133955 -0.06215339
  0.35647024 -0.22015706  0.83265713 -0.29095577  0.80307165  1.24011168
  0.55245655 -0.29519695  0.10264995  0.58949645 -0.58152854  0.02041487]",0.32002219557762146,2,0,0,0,18620,13,3
8,ImprovementEmitter,"[ 0.36000918 -1.30667403 -0.59381912 -0.306771   -0.84145853  0.74104627
  1.08273598  0.63031363  0.58750105 -0.24394821 -1.13187613  1.93053474
  0.79830855 -0.40796483 -0.8775045   0.51822182 -0.69517215  0.24247964
 -0.53699676  0.13426577 -0.91453209 -1.18888376 -1.33373984 -0.06671315
 -0.12184847 -1.70899467 -0.23214246  1.30665784  0.26775504 -0.58354193
  0.22395649 -0.16527801 -0.49484641  1.13885827  0.00868559  0.69720411
  0.99545511 -1.29250046 -0.25458482  0.52237164  0.62163557 -0.96330473
 -1.07590469  0.46672323  0.85500677 -0.05178288 -0.0910225  -0.36688792
  0.6741083   0.69263862  0.03246751 -0.42028137 -0.05381392  0.18956374
  0.48652081  0.5256782  -0.50678811  0.8777012   0.40933645 -0.14794989
  0.02752319  0.14001244  0.66563744  0.97007678  0.14753291  0.46852963
 -0.72097521  0.09465701  0.19083701 -0.77380118 -0.00415778 -0.28190153
  0.08987791 -1.05803968 -0.04019673 -0.13076702 -0.21636138 -0.20799567
  0.45933774  1.03688293 -0.15995639 -0.62575029 -0.13944995  0.23827132
  0.34752884  0.24661456  0.97545781  0.24005029  0.70480323  1.19972053
  0.83882795 -0.46856285  0.10305135  1.08118416 -0.70855504 -0.07745273]",1.0,6,3,0,0,16760,21,4
9,ImprovementEmitter,"[-0.16904503  1.09135436 -1.12809994  0.18503301 -1.13282695  0.56004389
  1.4189407  -0.81739716  0.14129499 -0.13894708  0.14848129 -2.34011251
  0.01608232 -0.20797144 -0.52338451  0.41151277  0.45854129  1.01743569
  0.73699069  0.23357599 -0.73279785 -0.00737921 -0.28696511 -0.07681199
 -0.31772476 -0.71487761 -0.98433     0.78627825  1.56290416  0.62201394
  0.02662777  0.40814908 -0.80798242  0.0860967   0.08268178  1.33819854
 -0.00350644 -1.23561602 -0.12263581  0.40711886  0.57735312 -1.10309891
 -1.65502843 -0.02155854  0.16432961 -0.01013018  0.27943031 -0.55750414
 -0.01559006  0.07004959  0.26585535  0.2128372   0.17474498  0.48134369
  0.6857292   0.40148225  0.28504544  0.97822573  0.60358166  0.1539049
 -0.10768855 -0.1253447  -0.1408753   0.83973143  0.19835607 -0.74810805
 -0.70162663  0.65486395  0.21058977  0.11654818  0.52622975 -0.45479201
 -0.62266447 -1.06386563  0.78436912 -0.09931797 -1.06718814 -0.09767459
  0.43587373  0.9253966  -0.01853481 -0.76084438  0.29018977 -0.47257641
  0.32182301 -0.13550543  1.09481562 -0.13667013  0.66836524  1.58911733
  0.18496146 -0.347553    0.49564784  0.14632153  0.39855077  0.04048747]",0.16647647321224213,0,0,0,0,19340,0,0
